處理的字串,predict
我要聽田馥甄的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
播放五月天的歌,(2 5 artist)
我要聽買榜,(3 5 song)
兩隻老虎,(0 4 song)
我要聽粵語歌,(3 5 language)
我要聽蔡依林的歌,(3 6 artist)
播放教師節味兒場,(2 8 audiobook)
我要聽愛情的模樣,(3 8 song)
我要聽張宇的歌,(3 5 artist)
我要聽鄧麗君的歌,(3 6 artist)
放抒情歌,(1 3 theme)
我要聽張宇的歌,(3 5 artist)
我要聽李聖傑的歌,(3 6 artist)
兩隻老虎,(0 4 song)
我要聽華語新歌,(3 5 language)
我要聽新歌,(3 5 keyword)
播放一曲相思,(2 6 song)
綠色,(0 2 song)
跟我說個白雪公主故事,(4 8 audiobook)
許美靜,(0 3 artist)
我要聽五月天的星空,(3 6 artist) (7 9 song)
播放韓語歌,(2 4 language)
我要聽相聲,(3 5 audiobook_category)
學貓叫,(0 3 song)
我要聽費玉清的歌,(3 6 artist)
我要聽音樂,(0 5 song)
我要聽台語歌,(3 5 language)
我要聽周杰倫的歌,(3 6 artist)
我要聽嘻哈音樂,(3 5 category)
我要聽江蕙的歌,(3 5 artist)
播放一曲相思,(2 6 song)
我要聽動力火車的歌,(3 7 artist)
我要聽搖滾音樂,(3 5 category)
我要聽林宥嘉的歌,(3 6 artist)
我要聽毛毛歌,(3 6 song)
我要聽搖滾音樂,(3 5 category)
想聽鳳飛飛,(2 5 artist)
生日快樂,(0 4 song)
我想聽無言的結局,(3 8 song)
我要聽英文歌,(3 5 language)
我要聽劉德華的歌,(3 6 artist)
我要聽鳳飛飛的歌,(3 6 artist)
我要看電影電影的時間表,(8 11 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽張學友的歌,(3 6 artist)
我要聽張雨生的歌,(3 6 artist)
有聲書,(0 3 general_audiobook)
播放韓語歌,(2 4 language)
沙漠駱駝,(0 4 song)
美琪的,(0 2 artist)
我要聽光年之外,(3 7 song)
學貓叫,(0 3 song)
沙漠駱駝,(0 4 song)
我要聽新歌,(3 5 keyword)
播放一曲相思,(2 6 song)
我要聽烽火天榜,(3 7 song)
我要聽相聲,(3 5 audiobook_category)
我要聽周杰倫的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽鬼故事,(3 6 audiobook_category)
播放一曲相思,(2 6 song)
我要聽光年之外,(3 7 song)
我要聽張清芳的歌,(3 6 artist)
播放起風了,(2 5 song)
我要聽鄧麗君的歌,(3 6 artist)
我要聽防彈少年團的歌,(3 8 artist)
我要聽田馥甄的歌,(3 6 artist)
幫我放在沒有你以後,(3 9 song)
我要聽于文文的歌,(3 6 artist)
李玟,(0 2 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽英文歌,(3 5 language)
我要聽橄欖樹,(3 6 song)
播放一曲相思,(2 6 song)
播放一曲相思,(2 6 song)
我要聽江蕙的歌,(3 5 artist)
我要聽光年之外,(3 7 song)
相聲,(0 2 audiobook_category)
我要聽音樂,(0 5 song)
我要聽悲傷的歌曲,(3 5 theme)
我要聽搖滾音樂,(3 5 category)
彭佳慧,(0 3 artist)
我要聽鬼故事,(3 6 audiobook_category)
我要聽華語新歌,(3 5 language)
我要聽莫文蔚的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
往後餘生,(0 4 song)
我要聽西洋排行榜,(3 5 language)
把玫瑰少年,(1 5 song)
我要聽雷鬼音樂,(3 5 category)
我要聽吳卓源的歌,(3 6 artist)
我要聽周華健的歌,(3 6 artist)
我要聽王力宏的歌,(3 6 artist)
我要聽 Alan Walker 的歌,(4 7 artist)
許富凱,(0 3 artist)
想聽周杰倫的音樂,(2 5 artist)
楊宗緯涼涼,(0 3 artist)
幫我點周杰倫熱門歌曲,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽相聲,(3 5 audiobook_category)
我要聽兒歌,(3 5 song)
我要聽買榜,(3 5 song)
我要聽相聲,(3 5 audiobook_category)
我要聽蔡依林的歌,(3 6 artist)
我要聽節奏藍調音樂,(3 7 category)
我要聽 Misia 的歌,(4 7 song)
我要聽林俊傑的歌,(3 6 artist)
我要聽嘻哈音樂,(3 5 category)
播放音樂,(0 4 song)
播放一曲相思,(2 6 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽鳳飛飛的歌,(3 6 artist)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽快樂的音樂,(3 6 song)
我要聽電子音樂,(3 5 category)
幫我放一星空,(4 6 song)
唱一首小蘋果,(3 6 song)
冰雪奇緣主題曲,(4 7 song)
兩隻老虎,(0 4 song)
我要聽光年之外,(3 7 song)
我要聽光年之外,(3 7 song)
我要聽日文歌,(3 5 language)
我要聽周杰倫的歌,(3 6 artist)
我要聽田馥甄的歌,(3 6 artist)
我想聽無言的結局,(3 8 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽費玉清的歌,(3 6 artist)
播放一曲相思,(2 6 song)
披頭四,(0 3 song)
我要聽嘻哈音樂,(3 5 category)
我要聽薛之謙的歌,(3 6 artist)
我要聽熱門歌曲,(3 5 keyword)
犀利筆小豹海厲害,(6 8 song)
我要聽許茹芸的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽費玉清的歌,(3 6 artist)
我要聽華語新歌,(3 5 language)
我要聽我好嗎,(3 6 song)
我要聽睡眠音樂,(3 5 theme)
黃鶯鶯的哭砂,(0 3 artist) (4 6 song)
我要聽派對動物,(3 7 song)
大悲咒,(0 3 song)
我要聽粵語歌,(3 5 language)
往後餘生,(0 4 song)
播放一曲相思,(2 6 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽浪漫的音樂,(3 5 theme)
播放張學友,(2 5 artist)
我要聽周杰倫的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽張宇的歌,(3 5 artist)
我要聽田馥甄的歌,(3 6 artist)
我要聽林憶蓮的歌,(3 6 artist)
我要聽鬼故事,(3 6 audiobook_category)
學貓叫,(0 3 song)
我要聽香草把噗,(3 6 song)
我要聽光年之外,(3 7 song)
我要聽兒歌,(3 5 song)
播放卡農,(2 4 song)
我要聽音樂,(0 5 song)
我要聽獨立音樂,(3 5 category)
我要聽校歌了麼小哥,(7 9 song)
我要聽走到飛,(3 6 song)
我要聽搖滾音樂,(3 5 category)
我要聽浪漫的音樂,(3 5 theme)
學貓叫,(0 3 song)
我要聽留不住的故事,(3 9 song)
播放一曲相思,(2 6 song)
播費玉清的晚安曲,(1 4 artist) (5 8 song)
我要聽韓語排行榜,(3 5 language)
我要聽于文文的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
播放蔡依林的你也有今天,(2 5 artist) (6 11 song)
我要聽有點野,(3 6 album)
我要聽愛情的模樣,(3 8 song)
我要聽愛的可能,(3 7 song)
我要聽冬季適合聽的歌曲,(3 5 theme)
我要聽古典音樂,(3 5 category)
我要聽電子音樂,(3 5 category)
我要聽鬼故事,(3 6 audiobook_category)
播放悲傷如雨,(2 6 song)
我要聽古典音樂,(3 5 category)
播放一曲相思,(2 6 song)
我要聽韓語排行榜,(3 5 language)
我要聽搖滾音樂,(3 5 category)
我要聽煙花易冷,(3 7 song)
我要聽留不住的故事,(3 9 song)
我要聽宇多田光的歌,(3 7 artist)
高勝美的哭砂,(0 3 artist) (4 6 song)
播放我還年輕,(2 6 song)
我要聽江蕙的歌,(3 5 artist)
愛我你就抱抱我,(0 7 song)
我要聽西遊記,(3 6 audiobook)
學貓叫,(0 3 song)
我要聽周興哲的歌,(3 6 artist)
我要聽英文版綠野仙蹤,(3 10 audiobook)
我要聽新歌,(3 5 keyword)
我要聽大叔,(3 5 song)
莉莉,(0 2 artist)
我要聽吳卓源的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
我要聽煙花易冷,(3 7 song)
我要聽嘻哈音樂,(3 5 category)
我要聽粵語歌,(3 5 language)
我要聽林俊傑的歌,(3 6 artist)
小胖小胖我要一分我要一本書的一小泡,(0 17 song)
唱一首小蘋果,(3 6 song)
我要聽華語新歌,(3 5 language)
我要聽徐懷鈺等不及,(3 6 artist)
我要聽伍佰的歌,(3 6 album)
我要聽鄧麗君的歌,(3 6 artist)
我要聽搖滾音樂,(3 5 category)
say say say,(0 3 song)
我要聽林俊傑的歌,(3 6 artist)
往後餘生,(0 4 song)
我要聽失戀排行榜,(5 8 keyword)
播放起風了,(2 5 song)
我要聽日文歌,(3 5 language)
學貓叫,(0 3 song)
我要聽悲傷的歌曲,(3 5 theme)
我要聽林宥嘉的歌,(3 6 artist)
我要聽小野麗莎的歌,(3 7 artist)
兩隻老虎,(0 4 song)
播放起風了,(2 5 song)
有一種悲傷,(0 5 song)
西洋音樂,(0 2 language)
我要聽生日快樂歌,(3 8 song)
播放今晚打老虎觸電,(4 7 artist)
我想聽快樂情境的歌,(3 5 theme)
我要聽林俊傑的歌,(3 6 artist)
光輝歲月,(0 4 song)
愛我你就抱抱我,(0 7 song)
我要聽王力宏的歌,(3 6 artist)
我要聽陳綺貞的歌,(3 6 artist)
我要聽薛之謙的歌,(3 6 artist)
我要聽林俊傑的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
綠色,(0 2 song)
停格,(0 2 song)
幫我記錄鑰匙放在口袋裡,(8 11 song)
醉玫瑰,(0 3 song)
西洋音樂,(0 2 language)
兩隻老虎,(0 4 song)
播放小紅帽的兒童故事,(6 10 audiobook_category)
我要聽來自天堂,(5 7 album)
我要聽光年之外,(3 7 song)
愛我你就抱抱我,(0 7 song)
我要聽快樂的音樂,(3 6 song)
播放一曲相思,(2 6 song)
我要聽買榜,(3 5 song)
愛江山愛美人,(1 3 album)
我要聽王傑的歌,(3 5 artist)
播放排行榜,(2 5 keyword)
我要聽周杰倫的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
愛我你就抱抱我,(0 7 song)
我要聽張慧的歌,(3 5 artist)
播小提琴演奏,(1 6 artist)
我要聽光年之外,(3 7 song)
我要聽我好嗎,(3 6 song)
我要聽薛之謙的歌,(3 6 artist)
我要聽粵語歌,(3 5 language)
我要聽費玉清的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
大智,(0 2 song)
我要聽于文文的歌,(3 6 artist)
我要聽于文文的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
我要聽王菲的歌,(3 5 album)
播放二零一八西洋流行歌曲,(6 8 language)
愛我你就抱抱我,(0 7 song)
我要聽相聲,(3 5 audiobook_category)
我要聽林俊傑的歌,(3 6 artist)
我要聽baby song,(3 5 song)
我要聽新歌,(3 5 keyword)
我要聽月琴,(3 5 song)
我要聽我好嗎,(3 6 song)
播放音樂,(0 4 song)
我要聽煙花易冷,(3 7 song)
我要聽煙花易冷,(3 7 song)
我要聽童話故事,(3 7 audiobook_category)
我要聽蔡琴的歌,(3 5 artist)
追追追,(0 3 song)
我要聽齊天大聖再鬧天宮,(3 11 audiobook)
黃鶯鶯的哭砂,(0 3 artist) (4 6 song)
兩隻老虎,(0 4 song)
我要聽英文歌曲,(3 5 language)
我要聽快樂天堂,(3 7 song)
我要聽我好嗎,(3 6 song)
涼涼,(0 2 song)
生僻字,(0 3 song)
放孫燕姿的歌,(1 4 artist)
我要聽田馥甄的歌,(3 6 artist)
我要聽對面的女孩看過來,(3 11 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽台語歌,(3 5 language)
我要聽香草把噗,(3 6 song)
我要聽周杰倫的歌,(3 6 artist)
我要聽李千娜的歌,(3 6 artist)
我要聽買榜,(3 5 song)
我要聽準備中,(3 6 album)
我要聽許茹芸的歌,(3 6 artist)
我要聽動力火車的歌,(3 7 artist)
愛我你就抱抱我,(0 7 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽孫露的歌,(3 5 artist)
放流行音樂,(1 3 keyword)
我要聽林俊傑的歌,(3 6 artist)
我要聽古典音樂,(3 5 category)
播放一曲相思,(2 6 song)
我要聽張惠妹的歌,(3 6 artist)
往後餘生,(0 4 song)
我要聽陳綺貞的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
請播睡前故事,(2 6 audiobook_category)
我要聽煙花易冷,(3 7 song)
我要聽粵語歌,(3 5 language)
播放起風了,(2 5 song)
我要聽張學友的歌,(3 6 artist)
生僻字,(0 3 song)
請介紹美國德州,(3 5 song)
我要聽鄧麗君的歌,(3 6 artist)
卡路里,(0 3 song)
播放一曲相思,(2 6 song)
我要聽 ONE OK ROCK 的歌,(4 9 artist)
我要聽陳綺貞的歌,(3 6 artist)
播放一曲相思,(2 6 song)
說個笑話,(2 4 song)
我要聽張學友的歌,(3 6 artist)
我要聽蔡依林的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽防彈少年團的歌,(3 8 artist)
愛我你就抱抱我,(0 7 song)
我要聽節奏藍調音樂,(3 7 category)
我要聽劉德華的歌,(3 6 artist)
黃小琥,(0 3 artist)
我要聽快樂天堂,(3 7 song)
我要聽煙花易冷,(3 7 song)
播放殘酷天使的行動綱領二零零九,(2 6 audiobook)
我要聽喬幼的歌,(3 5 artist)
我要聽歪批三國,(3 7 song)
我要聽王力宏的歌,(3 6 artist)
我要聽周杰倫的歌,(3 6 artist)
我要聽小野麗莎的歌,(3 7 artist)
唱一首小蘋果,(3 6 song)
涼涼,(0 2 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽許茹芸的歌,(3 6 artist)
我要聽春天的歌曲,(3 7 song)
唱一首小蘋果,(3 6 song)
沙漠駱駝,(0 4 song)
我要聽陳綺貞的歌,(3 6 artist)
播放起風了,(2 5 song)
我要聽于文文的歌,(3 6 artist)
就是那個我的幼稚園的那個,(0 12 song)
我要聽心情不好的時候適合聽的歌曲,(3 7 theme)
西洋音樂,(0 2 language)
我要聽徐懷鈺的心中的遺憾,(3 6 artist) (7 12 song)
我要聽鳳飛飛的歌,(3 6 artist)
沙漠駱駝,(0 4 song)
我要聽快樂天堂,(3 7 song)
我要聽歪批三國,(3 7 song)
我要聽床邊故事,(3 7 audiobook_category)
我要聽鄧麗君的歌,(3 6 artist)
我要聽費玉清的歌,(3 6 artist)
我要聽愛情的模樣,(3 8 song)
我要聽歪批三國,(3 7 song)
我要聽愛的可能,(3 7 song)
我要聽光年之外,(3 7 song)
我想聽charlie puth的attention,(3 6 artist)
學貓叫,(0 3 song)
我要聽老歌,(3 5 theme)
唱一首小蘋果,(3 6 song)
來首無言的結局,(2 7 song)
我要聽留不住的故事,(3 9 song)
我要聽新歌,(3 5 keyword)
西洋音樂,(0 2 language)
我要聽 ONE OK ROCK,(4 7 artist)
播放一曲相思,(2 6 song)
我要聽新歌,(3 5 keyword)
我要聽相聲,(3 5 audiobook_category)
播放起風了,(2 5 song)
我要聽張信哲的歌,(3 6 artist)
許富凱,(0 3 artist)
播放一曲相思,(2 6 song)
許富凱,(0 3 artist)
我要聽買榜,(3 5 song)
我要聽蔡依林的歌,(3 6 artist)
我要聽兒歌,(3 5 song)
我要聽粵語歌,(3 5 language)
仁芬旅遊之聲,(2 4 artist)
我要聽兒歌,(3 5 song)
我要聽田馥甄的歌,(3 6 artist)
陳小雲,(0 3 artist)
我要聽齊天大聖再鬧天宮,(3 11 audiobook)
我要聽有聲書,(0 6 general_audiobook)
我要聽楊丞琳的歌,(3 6 artist)
我要聽相聲選粹,(3 7 audiobook)
我要聽茄子蛋的歌,(3 6 artist)
我要聽華語新歌,(3 5 language)
我要聽月琴,(3 5 song)
我要播戴佩妮的怎樣,(3 6 artist) (7 9 song)
我要聽蔡琴的歌,(3 5 artist)
我要聽王力宏的歌,(3 6 artist)
我要聽綠的草地藍藍天,(8 10 song)
李玖哲,(0 3 artist)
播放韓語歌,(2 4 language)
我要聽 lady gaga 的歌,(4 7 artist)
我要聽光年之外,(3 7 song)
彭佳慧,(0 3 artist)
生僻字,(0 3 song)
我要聽搖滾音樂,(3 5 category)
我要聽光年之外,(3 7 song)
沙漠駱駝,(0 4 song)
我要聽對面的女孩看過來,(3 11 song)
我要聽蔡依林,(3 6 artist)
我要聽生日快樂歌,(3 8 song)
我想聽無言的歌,(3 7 song)
學貓叫,(0 3 song)
孫露的月光小夜曲,(0 2 artist) (3 8 song)
學貓叫,(0 3 song)
播放起風了,(2 5 song)
我要聽王力宏的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽搖滾音樂,(3 5 category)
生僻字,(0 3 song)
我想聽無言的結局,(3 8 song)
追追追,(0 3 song)
我要聽華語音樂,(3 5 language)
唱一首小蘋果,(3 6 song)
播放一曲相思,(2 6 song)
我要聽琅琊榜,(3 6 song)
我要聽許茹芸的歌,(3 6 artist)
幫我播潘越雲的歌,(3 6 artist)
我要聽光年之外,(3 7 song)
我要聽煙花易冷,(3 7 song)
我要聽茄子蛋的歌,(3 6 artist)
我要聽于文文的歌,(3 6 artist)
愛我你就抱抱我,(0 7 song)
我要聽嘻哈音樂,(3 5 category)
我要聽準備中,(3 6 album)
郭德綱的節目,(0 3 artist)
西洋音樂,(0 2 language)
我要聽梁靜茹的歌,(3 6 artist)
我要聽快樂的音樂,(3 6 song)
往後餘生,(0 4 song)
陳小春,(0 3 artist)
我要聽白雪公主,(3 7 audiobook)
我要聽費玉清的歌,(3 6 artist)
我要聽煙花易冷,(3 7 song)
涼涼,(0 2 song)
moon river,(0 2 song)
重複播放什麼好了這個不用,(0 12 song)
唱一首小蘋果,(3 6 song)
我要聽小野麗莎的歌,(3 7 artist)
我要聽快樂頌,(3 6 song)
我要聽新歌,(3 5 keyword)
我要聽搖滾音樂,(3 5 category)
我要聽獨立音樂,(3 5 category)
我要聽 Misia 的歌,(4 7 song)
我要聽于文文的歌,(3 6 artist)
謝雷,(0 2 artist)
我要聽江蕙的歌,(3 5 artist)
我要聽林俊傑的歌,(3 6 artist)
唱一首小蘋果,(3 6 song)
有點甜,(0 3 song)
我要聽華語新歌,(3 5 language)
我想聽光良的歌,(3 5 artist)
我要聽相聲,(3 5 audiobook_category)
我要聽林俊傑的歌,(3 6 artist)
我要聽周興哲的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽熱門歌曲,(3 5 keyword)
我要聽陳綺貞的歌,(3 6 artist)
我要聽再遇不到你這樣的人,(3 12 song)
我要聽八度空間,(3 7 album)
我要聽派對動物,(3 7 song)
我要聽買榜,(3 5 song)
我要聽小星星,(3 6 song)
我要聽快樂頌,(3 6 song)
播放小紅帽的兒童故事,(6 10 audiobook_category)
有聲書,(0 3 general_audiobook)
我要聽周杰倫的歌,(3 6 artist)
我要聽我好嗎,(3 6 song)
我要聽買榜,(3 5 song)
兩隻老虎,(0 4 song)
我要聽搖滾音樂,(3 5 category)
我要聽愛的可能,(3 7 song)
我要聽熱門歌曲,(3 5 keyword)
西洋音樂,(0 2 language)
我要聽兒歌,(3 5 song)
我要聽田馥甄的歌,(3 6 artist)
我要聽嘻哈排行榜,(3 5 category)
我要聽台語歌,(3 5 language)
我要聽小野麗莎的歌,(3 7 artist)
我要聽走到飛,(3 6 song)
我要聽黃齡傷不起,(5 8 song)
我要聽歪批三國,(3 7 song)
我要聽煙花易冷,(3 7 song)
我要聽留不住的故事,(3 9 song)
我要聽小叮噹的故事,(3 6 audiobook)
我要聽兒歌,(3 5 song)
學貓叫,(0 3 song)
我要聽相聲選粹,(3 7 audiobook)
播放鈴聲力量,(2 6 song)
兩隻老虎,(0 4 song)
我要聽光年之外,(3 7 song)
我要聽白雪公主,(3 7 audiobook)
我要聽嘻哈音樂,(3 5 category)
我要聽蔡依林的腦公,(3 6 artist) (7 9 song)
黃鶯鶯的哭砂,(0 3 artist) (4 6 song)
要聽小巴掌,(2 5 song)
我要聽睡眠音樂,(3 5 theme)
涼涼,(0 2 song)
我要聽鄧麗君的歌,(3 6 artist)
西洋音樂,(0 2 language)
我要聽周華健的歌,(3 6 artist)
我要聽歪批三國,(3 7 song)
播放小鳥,(2 4 song)
追追追,(0 3 song)
我換一個音樂猜測夫斯基的音樂,(6 8 song) (10 14 song)
播放韓語歌,(2 4 language)
我要聽兒歌,(3 5 song)
我要聽光年之外,(3 7 song)
我要聽田馥甄的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽孫露的歌,(3 5 artist)
我要聽煙花易冷,(3 7 song)
我要聽于文文的歌,(3 6 artist)
我要聽橄欖樹,(3 6 song)
我要聽煙花易冷,(3 7 song)
播放音樂,(0 4 song)
我要聽田馥甄的歌,(3 6 artist)
播放一曲相思,(2 6 song)
我要聽周華健的歌,(3 6 artist)
涼涼,(0 2 song)
我要聽華語音樂,(3 5 language)
學貓叫,(0 3 song)
我要聽動力火車的歌,(3 7 artist)
兩隻老虎,(0 4 song)
我要聽橄欖樹,(3 6 song)
小星星,(0 3 song)
我要聽搖滾音樂,(3 5 category)
我要聽華語新歌,(3 5 language)
我要聽歌謠,(3 5 song)
快歌曲,(0 2 song)
我要聽光年之外,(3 7 song)
我要聽床邊故事,(3 7 audiobook_category)
我要聽光年之外,(3 7 song)
我要聽 ONE OK ROCK,(4 7 artist)
我要聽丨汪衛戍,(3 7 audiobook)
我要聽光年之外,(3 7 song)
我要聽光年之外,(3 7 song)
播放字母君,(2 5 audiobook)
我要聽八度空間,(3 7 album)
我要聽橄欖樹,(3 6 song)
我要聽粵語歌,(3 5 language)
學貓叫,(0 3 song)
播放音樂,(0 4 song)
心經,(0 2 song)
我要聽粵語歌,(3 5 language)
我要聽李榮浩的歌,(3 6 artist)
我要聽王力宏的歌,(3 6 artist)
播放一曲相思,(2 6 song)
播放音樂,(0 4 song)
播放音樂,(0 4 song)
我要聽我好嗎,(3 6 song)
我想聽李白,(3 5 song)
十一點播星空給我聽,(4 6 song)
我想聽齊秦的歌,(3 5 artist)
播放一曲相思,(2 6 song)
我要聽英文版綠野仙蹤,(3 10 audiobook)
我要聽張惠妹的歌,(3 6 artist)
我要聽你喜歡我的歌嗎,(3 10 song)
我要聽小星星,(3 6 song)
我要聽張雨生的歌,(3 6 artist)
我要聽愛的可能,(3 7 song)
唱一首小蘋果,(3 6 song)
我要聽告白氣球,(3 7 song)
我要聽光年之外,(3 7 song)
我要聽bling bling,(3 7 song)
我要聽華語新歌,(3 5 language)
我要聽橄欖樹,(3 6 song)
我要聽新歌排行榜,(5 8 keyword)
我要聽新歌,(3 5 keyword)
輕音樂,(0 3 category)
我要聽鄧麗君的歌,(3 6 artist)
我要聽齊天大聖再鬧天宮,(3 11 audiobook)
我要聽陳綺貞的歌,(3 6 artist)
我要聽新歌,(3 5 keyword)
播放一曲相思,(2 6 song)
我要聽鄉村音樂排行榜,(3 7 category)
周傳雄,(0 3 artist)
我要聽古典音樂,(3 5 category)
我要聽搖滾音樂,(3 5 category)
我想聽新歌,(3 5 keyword)
播放韓語歌,(2 4 language)
